Category,CO2,CH4,N2O,Country,Year,CO2eq.kt,EM.Source
total livestock,0,172.789156988684,1.77441655472297,AUT,2019,4848.50505802454,total
enteric fermentation,0,150.498008174302,0,AUT,2019,3762.45020435755,total
cattle subtotal,0,141.488816166671,0,AUT,2019,3537.22040416678,enteric fermentation
dairy cattle,0,67.9248023720284,0,AUT,2019,1698.12005930071,enteric fermentation
non-dairy cattle,0,73.564013794643,0,AUT,2019,1839.10034486607,enteric fermentation
manure management,0,22.2911488143817,1.77441655472297,AUT,2019,1086.05485366699,total
cattle subtotal,0,18.2117739821934,1.05897495530539,AUT,2019,770.86888623584,manure management
dairy cattle,0,8.97176400138206,0.41572467763757,AUT,2019,348.180053970547,manure management
non-dairy cattle,0,9.2400099808113,0.64325027766782,AUT,2019,422.688832265293,manure management
indirect n2o emissions,0,0,0.41150542268159,AUT,2019,122.628615959114,manure management
total livestock,0,171.518183877083,1.76851875527879,AUT,2020,4814.97318600015,total
enteric fermentation,0,149.360120792204,0,AUT,2020,3734.0030198051,total
cattle subtotal,0,140.404789952562,0,AUT,2020,3510.11974881404,enteric fermentation
dairy cattle,0,68.4176582113151,0,AUT,2020,1710.44145528288,enteric fermentation
non-dairy cattle,0,71.9871317412466,0,AUT,2020,1799.67829353116,enteric fermentation
manure management,0,22.1580630848788,1.76851875527879,AUT,2020,1080.97016619505,total
cattle subtotal,0,18.0513973319617,1.04975733543699,AUT,2020,764.112619259266,manure management
dairy cattle,0,8.98944593932436,0.41802554665204,AUT,2020,349.307761385417,manure management
non-dairy cattle,0,9.06195139263737,0.63173178878495,AUT,2020,414.804857873849,manure management
indirect n2o emissions,0,0,0.41373168324467,AUT,2020,123.292041606912,manure management
total livestock,0,171.950252505951,1.77903554962594,AUT,2021,4828.90890643732,total
enteric fermentation,0,149.709389154464,0,AUT,2021,3742.7347288616,total
cattle subtotal,0,140.659934293769,0,AUT,2021,3516.49835734422,enteric fermentation
dairy cattle,0,68.5156595231208,0,AUT,2021,1712.89148807802,enteric fermentation
